# Stockholm to liberalism: length = 3
# Yeast 

Linus_Pauling Stockholm
Bacteria Pneumonia
Bacteria Pollinator
Bacteria Scientific_classification
Bacteria Sub-Saharan_Africa
Stockholm Latin_America
Stockholm Latvia
Stockholm Middle_East
Stockholm Rembrandt
Middle_East Currency
Middle_East Damascus
Middle_East Democracy
Middle_East Doha
Middle_East Eastern_Orthodox_Church
Yeast Oxygen
Democracy Kyrgyzstan
Democracy Lebanon
Democracy Liberal_democracy
Democracy Liberalism
Democracy Magna_Carta
Democracy Marxism
Delhi Tourism
Delhi United_Nations
Delhi Winter
Delhi World_War_I
Deluge_(mythology) Atlantis
Deluge_(mythology) Black_Sea
Yeast AIDS
Yeast Acetic_acid
Yeast Alcohol
Yeast Apple
AIDS Eye
